"Q: Feb. gold loses $12.50, or 1.1%, to trade at $1,159.90/bbl
A:",down,9770
"Q: Gold retakes Rs 31,000 level on demand push, soars Rs 650
A:",up,3631
"Q: Gold holds gain after ADP private-sector jobs report
A:",up,7059
"Q: Gold holds onto gains from Iraq concerns, Fed language
A:",up,421
"Q: philadelphia gold & silver index climbs 1.6%
A:",up,9878
"Q: feb. gold ends down $13.30, or 1.7%, at $752.20 an ounce
A:",down,7213
"Q: Gold retains solid gains after economic reports
A:",up,7847
"Q: gold futures down $10.70 at $897.50 an ounce
A:",down,9353
"Q: Buy gold if it dips to $1,335/oz
A:",down,6686
"Q: barrick gold sees 2005 gold production 5.4m-5.5m
A:",none,5617
"Q: june gold down $17.20, or 1.1%, at $1,583.70/oz
A:",down,4179
"Q: Gold edges down to Rs 30,475; silver plunges by Rs 400/kg
A:",down,5546
"Q: Gold futures little changed ahead of U.S. GDP data
A:",neutral,4963
"Q: gold prices rise as palladium falls
A:",down,9111
"Q: gold glitters to hit over 2-mth high on global cues; up rs 340
A:",up,4775
"Q: august gold falls $2 to $662.40/oz in ny
A:",down,2151
"Q: gold under $357, low point for week
A:",down,7050
"Q: gold rebounds to hit four-month high; silver spurts
A:",up,270
"Q: is gold finally a contrarian buy?
A:",none,4547
"Q: south africa dismisses gold fields appeal
A:",none,7812
"Q: Gold settles at a 5-month high as investors focus on geopolitics
A:",up,3723
"Q: gold falls below $1,200 for the first time since march 2017
A:",down,7022
"Q: gold futures close 0.7% lower; silver off 1.9%
A:",down,2403
"Q: gold sheds 3% for october but still underpinned by election jitters
A:",down,5846
"Q: gold falls with equities as euro zone talks stuck
A:",down,4004
"Q: Gold futures up at Rs 29,670 per 10 gm
A:",up,7368
"Q: gold rate today: gold, silver trade higher in morning deals
A:",up,308
"Q: gold could extend gains on coordinated central banks rate cuts
A:",up,8081
"Q: gold rate today: track gold price in india
A:",none,507
"Q: gold, copper prices head higher
A:",up,3072
"Q: axis mf launches new exchange traded gold fund
A:",none,2276
"Q: gold prices top $540 in afternoon dealings
A:",up,8585
"Q: april gold down $2.70, or 0.2%, at $1,149.70/oz on comex
A:",down,7811
"Q: meridian gold up 6.1% in $xau
A:",up,3176
"Q: Gold futures up at Rs Rs 31,220 per 10 gm
A:",up,5732
"Q: gold ends slightly higher, as dollar falls
A:",up,9192
"Q: gold futures up 1.5% for the session, still loses 1% on week
A:",up,2673
"Q: Gold futures climb to Rs 28,398 on firm global cues
A:",up,6926
"Q: oil, gold add to losses after ism, housing data
A:",down,7434
"Q: Gold gains ground but remains vulnerable
A:",up,9953
"Q: feb. gold climbs $2.80, or 0.2%, to settle at $1,250/oz
A:",up,4669
"Q: gold falls on optimism worst of crisis may be over
A:",down,1675
"Q: august gold ends up $1.60, or 0.2%, at $936.20
A:",up,31
"Q: gold gains on weak dollar, west asia crisis
A:",up,4583
"Q: gold futures down $10.70 at $1,590.40 an ounce
A:",down,477
"Q: philadelphia gold & silver index falls 2.7%
A:",down,3044
"Q: April gold falls $6.90, or 0.6%, at $1,246.80/oz.
A:",down,5464
"Q: silver falls by rs 200 from record level, gold also declines
A:",down,4538
"Q: Gold prices ease in Asia on profit taking, Iraq, China data eyed
A:",none,899
"Q: wedding season demand pushes up gold by rs 230,silver by rs450
A:",up,4944
"Q: Gold books gain for second straight session
A:",up,2380
"Q: Gold holds below 3-week peak as dollar recovers; Trump's policy in focus
A:",down,4550
"Q: gold futures trim gains after jobless data
A:",up,1742
"Q: mcx goldguinea jan contract trades lower
A:",down,4092
"Q: physical : gold investment demand down 23% in 2017
A:",down,3090
"Q: april gold last up 1%, or $6.60, at $657/oz
A:",up,1326
"Q: Dec. gold climbs by 70 cents, or less than 0.1%, to settle at $1,279/oz
A:",up,2595
"Q: aug gold up $1 at $426/oz after $426.40 high
A:",up,1728
"Q: china's gold consumption to cool after surge this year
A:",none,2189
"Q: gold rises to 7-week high with greece in focus
A:",up,7860
"Q: gold prices close down $11 on week
A:",down,7592
"Q: bank of america merrill lynch slashes gold call to $1,150 and warns it could get uglier
A:",down,9452
"Q: gold etf fee war continues, as new fund undercuts rivals
A:",none,4687
"Q: Gold futures slide to Rs 26,808 per 10 gm
A:",down,9348
"Q: gold futures contracts get smaller
A:",none,4129
"Q: Gold price pulls back from 3-week high to settle lower
A:",down,8044
"Q: Gold rises to 3-month high as weak oil, stocks boost haven demand
A:",up,6666
"Q: gold settles at its lowest level of the month
A:",down,1583
"Q: December gold falls 0.3% at $1,265.30/oz.
A:",down,4514
"Q: December gold settles $2.10, or 0.2%, lower at $1,262.60/oz.
A:",down,2373
"Q: marin katusa : bitcoin is hurting the junior gold market
A:",none,3645
"Q: Weak global cues pull gold futures down to Rs 28,384
A:",down,6074
"Q: gold, oil advance after reports on iran's warships
A:",up,8199
"Q: oil trades below $73, gold reverses after bernanke
A:",neutral,369
"Q: dec. gold gains 30 cents to $1,165/oz on globex
A:",up,7360
"Q: june gold rises $1.40 to $952.60/oz on globex
A:",up,9687
"Q: mcx goldguinea december contract trades higher
A:",up,7760
"Q: gold holds gain after economic reports
A:",up,6258
"Q: india : jewellers see 15% growth in akshaya tritiya sales despite higher gold prices
A:",none,1416
"Q: Gold marks 4th-straight session loss; palladium ends at lowest since 2014
A:",down,8936
"Q: Gold prices to trade positive: Angel Commodities
A:",up,4302
"Q: gold falls following conflicting reports in china, india
A:",down,2631
"Q: Gold prices to remain under pressure next year too
A:",none,5239
"Q: Gold, silver lower ahead of Fed speakers, FOMC minutes
A:",down,9651
"Q: Gold prices move higher on softer dollar
A:",up,4019
"Q: gold prices may decline to rs 29150-27850: mangal keshav
A:",down,1661
"Q: gold falls to near $830 as dollar rises
A:",down,3804
"Q: Gold futures end at highest level since Sept. 9 ahead of FOMC decision
A:",up,8560
"Q: gold rises as cyprus deposit tax spooks markets
A:",up,5311
"Q: Gold edges up on moderate buying; silver recovers
A:",up,4452
"Q: gold inches lower as north korea tensions ease
A:",down,1194
"Q: gold banc corp 1q earns 21c vs 34c
A:",none,2385
