Test_acc,Test_cost,Test_size,Train_acc,Train_cost,Train_size,Budget,Method,Provider,Marker
0.1,1.9486362,5000,0.8182,1.9468764,5000,10,GPT-Neo,Textsynth,3
0.1,0.8044752,5000,0.7248,0.804312,5000,10,GPT-FSQ,Textsynth,2
0.1,0.2773536,5000,0.7786,0.276954,5000,10,GPT-J,Textsynth,1
0.1,2.5,5000,0.8176,27.5015,5000,10,J1,AI21,3
0.1,4.80016,5000,0.7804,4.8,5000,10,J1-G,AI21,2
0.1,1.80042,5000,0.7472,1.8,5000,10,J1-L,AI21,1
0.1,4.8212,5000,0.7844,4.8196,5000,10,J1-I,AI21,4
0.1,8.9586075,5000,0.7822,8.957645,5000,10,CoHere,CoHere,2
0.1,8.9586075,5000,0.7892,8.957645,5000,10,CoHere-M,CoHere,1
0.1,6.6724708,5000,0.7266,6.6686834,5000,10,FA-Q,FA,1
0.1,6.6724476,5000,0.725,6.6686776,5000,10,FA-C,FA,2
0.1,2.280752,5000,0.6972,2.27951,5000,10,GPT-C,OpenAI,1
0.1,2.221348,5000,0.8118,2.219794,5000,10,CHATGPT,OpenAI,2
0.1,20.1,5000,0.8638,33.29232,5000,10,GPT-4,OpenAI,4
0.1,2.1,5000,0.836,22.79324,5000,10,GPT-3,OpenAI,3
0.1,1.145016,5000,0.862,1.145016,5000,10,FT-GPT-C,FrugalGPT,5
0.1,0.18,5000,0.699,0.18,5000,10,Dolly,Databricks,6
0.8264,1.00351,5000,0.829,0.000200731,5000,10,Meta-Llama-3-70B-Instruct-Turbo,togetherai,1
0.8478,0.16567335,5000,0.8506,3.3145800000000004e-05,5000,10,gpt-4o-mini,OpenAI,1
0.8324,5.499465000000001,5000,0.8328,0.001099712,5000,10,gpt-4o,OpenAI,2
0.8558,16.652775000000002,5000,0.8616,0.003330618,5000,10,gpt-4-turbo,OpenAI,3
0.832,0.3520268999999999,5000,0.8336,7.042127999999999e-05,5000,10,gemma-2-9b-it,togetherai,2
0.8478,3.3e-05,5000,0.8506,3.4e-05,5000,3.5e-05,FrugalGPT,FrugalGPT,1
0.8726,0.000183,5000,0.888,0.000221,5000,0.000223,FrugalGPT,FrugalGPT,1
0.878,0.000365,5000,0.8908,0.000372,5000,0.00041,FrugalGPT,FrugalGPT,1
0.878,0.000365,5000,0.8908,0.000372,5000,0.000598,FrugalGPT,FrugalGPT,1
0.878,0.000365,5000,0.8908,0.000372,5000,0.000786,FrugalGPT,FrugalGPT,1
0.878,0.000365,5000,0.8908,0.000372,5000,0.000973,FrugalGPT,FrugalGPT,1
0.878,0.000365,5000,0.8908,0.000372,5000,0.001161,FrugalGPT,FrugalGPT,1
0.878,0.000365,5000,0.8908,0.000372,5000,0.001348,FrugalGPT,FrugalGPT,1
0.878,0.000365,5000,0.8908,0.000372,5000,0.001536,FrugalGPT,FrugalGPT,1
0.878,0.000365,5000,0.8908,0.000372,5000,0.001724,FrugalGPT,FrugalGPT,1
0.878,0.000365,5000,0.8908,0.000372,5000,0.001911,FrugalGPT,FrugalGPT,1
0.878,0.000365,5000,0.8908,0.000372,5000,0.002099,FrugalGPT,FrugalGPT,1
0.878,0.000365,5000,0.8908,0.000372,5000,0.002287,FrugalGPT,FrugalGPT,1
0.878,0.000365,5000,0.8908,0.000372,5000,0.002474,FrugalGPT,FrugalGPT,1
0.878,0.000365,5000,0.8908,0.000372,5000,0.002662,FrugalGPT,FrugalGPT,1
0.878,0.000365,5000,0.8908,0.000372,5000,0.002849,FrugalGPT,FrugalGPT,1
0.878,0.000365,5000,0.8908,0.000372,5000,0.003037,FrugalGPT,FrugalGPT,1
0.878,0.000365,5000,0.8908,0.000372,5000,0.003225,FrugalGPT,FrugalGPT,1
0.878,0.000365,5000,0.8908,0.000372,5000,0.003412,FrugalGPT,FrugalGPT,1
0.878,0.000365,5000,0.8908,0.000372,5000,0.0036,FrugalGPT,FrugalGPT,1
