,Test_acc,Test_cost,Test_size,Train_acc,Train_cost,Train_size,Budget,Method,Provider,Marker
0,0.85,1.4893187000000003e-05,5000,0.8648,1.6964318e-05,5000,1.71e-05,FrugalGPT,FrugalGPT,1
1,0.8698,0.000192122,5000,0.8802,0.000224409,5000,0.000226726,FrugalGPT,FrugalGPT,1
2,0.874,0.00038363,5000,0.8866,0.000427673,5000,0.000436353,FrugalGPT,FrugalGPT,1
3,0.874,0.000552663,5000,0.8882,0.000581693,5000,0.000645979,FrugalGPT,FrugalGPT,1
4,0.874,0.000552663,5000,0.8882,0.000581693,5000,0.000855605,FrugalGPT,FrugalGPT,1
5,0.874,0.000997667,5000,0.8884,0.001015439,5000,0.001065232,FrugalGPT,FrugalGPT,1
6,0.874,0.000997667,5000,0.8884,0.001015439,5000,0.001274858,FrugalGPT,FrugalGPT,1
7,0.8746,0.00135881,5000,0.8894,0.001390171,5000,0.001484484,FrugalGPT,FrugalGPT,1
8,0.8746,0.00135881,5000,0.8894,0.001390171,5000,0.001694111,FrugalGPT,FrugalGPT,1
9,0.8746,0.00135881,5000,0.8894,0.001390171,5000,0.001903737,FrugalGPT,FrugalGPT,1
10,0.8746,0.00135881,5000,0.8894,0.001390171,5000,0.002113363,FrugalGPT,FrugalGPT,1
11,0.8746,0.00135881,5000,0.8894,0.001390171,5000,0.002322989,FrugalGPT,FrugalGPT,1
12,0.8746,0.00135881,5000,0.8894,0.001390171,5000,0.002532616,FrugalGPT,FrugalGPT,1
13,0.8746,0.00135881,5000,0.8894,0.001390171,5000,0.002742242,FrugalGPT,FrugalGPT,1
14,0.8746,0.00135881,5000,0.8894,0.001390171,5000,0.002951868,FrugalGPT,FrugalGPT,1
15,0.8746,0.00135881,5000,0.8894,0.001390171,5000,0.003161495,FrugalGPT,FrugalGPT,1
16,0.8746,0.00135881,5000,0.8894,0.001390171,5000,0.003371121,FrugalGPT,FrugalGPT,1
17,0.8746,0.00135881,5000,0.8894,0.001390171,5000,0.003580747,FrugalGPT,FrugalGPT,1
18,0.8746,0.00135881,5000,0.8894,0.001390171,5000,0.003790374,FrugalGPT,FrugalGPT,1
19,0.8746,0.00135881,5000,0.8894,0.001390171,5000,0.004,FrugalGPT,FrugalGPT,1
0,0.8142,0.000518814,5000,0.8146,0.00051891,5000,10,jamba-1.5-large,ai21,1
1,0.8264,0.000200702,5000,0.829,0.000200731,5000,10,Meta-Llama-3-70B-Instruct-Turbo,togetherai,1
2,0.832,7.040537999999999e-05,5000,0.8336,7.042127999999999e-05,5000,10,gemma-2-9b-it,togetherai,2
3,0.848,1.729215e-05,5000,0.8442,1.729305e-05,5000,10,gemini-1.5-flash,google,1
4,0.825,0.000290017,5000,0.8234,0.000289904,5000,10,gemini-1.5-pro,google,2
5,0.8422,8.679975e-06,5000,0.8462,8.673225e-06,5000,10,gemini-1.5-flash-8b,google,3
6,0.8332,0.001099998,5000,0.8318,0.001100159,5000,10,gpt-4o-2024-05-13,openaichat,1
7,0.8478,3.313467e-05,5000,0.8506,3.3145800000000004e-05,5000,10,gpt-4o-mini,openaichat,2
8,0.8558,0.003330555,5000,0.8616,0.003330618,5000,10,gpt-4-turbo,openaichat,3
9,0.8422,0.000807282,5000,0.8432,0.000807182,5000,10,claude-3-5-sonnet-20240620,anthropic,1
