,Test_acc,Test_cost,Test_size,Train_acc,Train_cost,Train_size,Budget,Method,Provider,Marker
0,0.9592592592592593,0.000453326,1080,0.9583333333333334,0.000415819,1080,4.4e-05,FrugalGPT,FrugalGPT,1
1,0.9592592592592593,0.000453326,1080,0.9583333333333334,0.000415819,1080,0.000204842,FrugalGPT,FrugalGPT,1
2,0.9592592592592593,0.000453326,1080,0.9583333333333334,0.000415819,1080,0.000365684,FrugalGPT,FrugalGPT,1
3,0.9592592592592593,0.000453326,1080,0.9583333333333334,0.000415819,1080,0.000526526,FrugalGPT,FrugalGPT,1
4,0.9592592592592593,0.000453326,1080,0.9583333333333334,0.000415819,1080,0.000687368,FrugalGPT,FrugalGPT,1
5,0.9611111111111111,0.000797981,1080,0.9583333333333334,0.000795473,1080,0.000848211,FrugalGPT,FrugalGPT,1
6,0.9611111111111111,0.000797981,1080,0.9583333333333334,0.000795473,1080,0.001009053,FrugalGPT,FrugalGPT,1
7,0.9611111111111111,0.000797981,1080,0.9583333333333334,0.000795473,1080,0.001169895,FrugalGPT,FrugalGPT,1
8,0.9611111111111111,0.000797981,1080,0.9583333333333334,0.000795473,1080,0.001330737,FrugalGPT,FrugalGPT,1
9,0.9611111111111111,0.000797981,1080,0.9583333333333334,0.000795473,1080,0.001491579,FrugalGPT,FrugalGPT,1
10,0.9611111111111111,0.000797981,1080,0.9583333333333334,0.000795473,1080,0.001652421,FrugalGPT,FrugalGPT,1
11,0.9611111111111111,0.000797981,1080,0.9583333333333334,0.000795473,1080,0.001813263,FrugalGPT,FrugalGPT,1
12,0.9611111111111111,0.000797981,1080,0.9583333333333334,0.000795473,1080,0.001974105,FrugalGPT,FrugalGPT,1
13,0.9611111111111111,0.000797981,1080,0.9583333333333334,0.000795473,1080,0.002134947,FrugalGPT,FrugalGPT,1
14,0.9611111111111111,0.000797981,1080,0.9583333333333334,0.000795473,1080,0.002295789,FrugalGPT,FrugalGPT,1
15,0.9611111111111111,0.000797981,1080,0.9583333333333334,0.000795473,1080,0.002456632,FrugalGPT,FrugalGPT,1
16,0.9611111111111111,0.000797981,1080,0.9583333333333334,0.000795473,1080,0.002617474,FrugalGPT,FrugalGPT,1
17,0.9611111111111111,0.000797981,1080,0.9583333333333334,0.000795473,1080,0.002778316,FrugalGPT,FrugalGPT,1
18,0.9611111111111111,0.000797981,1080,0.9583333333333334,0.000795473,1080,0.002939158,FrugalGPT,FrugalGPT,1
19,0.9611111111111111,0.000797981,1080,0.9583333333333334,0.000795473,1080,0.0031,FrugalGPT,FrugalGPT,1
0,0.9453703703703704,0.001455083,1080,0.937962963,0.001450597,1080,10,gpt-4o-2024-05-13,openaichat,1
1,0.9574074074074074,4.3737916666666663e-05,1080,0.9472222222222222,4.356749999999999e-05,1080,10,gpt-4o-mini,openaichat,2
2,0.9175925925925926,0.002998907,1080,0.9027777777777778,0.002991509,1080,10,gpt-4-turbo,openaichat,3
3,0.937962963,2.2821180555555557e-05,1080,0.9212962962962963,2.2778333333333335e-05,1080,10,gemini-1.5-flash,google,1
4,0.9287037037037037,0.000382765,1080,0.9333333333333333,0.000379736,1080,10,gemini-1.5-pro,google,2
5,0.7509259259259259,1.2049895833333335e-05,1080,0.7379629629629629,1.2012361111111111e-05,1080,10,gemini-1.5-flash-8b,google,3
6,0.9527777777777777,0.000657278,1080,0.9361111111111111,0.000654917,1080,10,jamba-1.5-large,ai21,1
7,0.950925926,0.00026648,1080,0.9361111111111111,0.000265466,1080,10,Meta-Llama-3-70B-Instruct-Turbo,togetherai,1
8,0.9462962962962963,9.223083333333332e-05,1080,0.9333333333333333,9.186138888888887e-05,1080,10,gemma-2-9b-it,togetherai,2
9,0.9592592592592593,0.001060878,1080,0.9481481481481482,0.001057042,1080,10,claude-3-5-sonnet-20240620,anthropic,1
